court	docket_date	case_count	case_numbers
1-1	2025-02-03	1	251100018440
1-1	2025-02-04	1	251100018449
1-1	2025-02-10	1	251100018449
1-1	2025-02-03	4	251100018459, 251100018452, 251100018390, 251100018471
1-1	2025-02-13	1	251100018471
1-1	2025-02-03	2	251100018592, 251100018416
1-1	2025-02-13	1	251100018416
1-1	2025-02-03	6	251100020042, 251100018652, 251100019603, 251100019626, 251100019618, 251100019613
1-1	2025-02-04	1	251100020106
1-1	2025-02-03	1	251100019868
1-1	2025-03-17	1	251100019868
1-1	2025-02-03	1	251100020108
1-1	2025-02-04	2	251100020140, 251100020117
1-1	2025-02-11	1	251100020140
1-1	2025-02-04	3	251100020112, 251100020165, 251100020166
1-1	2025-02-05	1	251100020230
1-1	2025-02-04	2	251100020164, 251100020129
1-1	2025-02-11	1	251100020164
1-1	2025-02-04	1	251100021012
1-1	2025-02-05	6	251100021065, 251100021064, 251100021071, 251100020987, 251100021055, 251100020236
1-1	2025-02-12	1	251100021064
1-1	2025-02-05	2	251100021042, 251100021039
1-1	2025-03-19	1	251100021042
1-1	2025-04-09	1	251100021042
1-1	2025-02-05	3	251100021076, 251100021081, 251100021103
1-1	2025-02-12	1	251100021103
1-1	2025-02-05	3	251100021137, 251100021149, 251100021117
1-1	2025-02-04	1	251100021108
1-1	2025-02-05	5	251100021104, 251100021126, 251100021140, 251100021150, 251100021143
1-1	2025-02-03	1	251100021158
1-1	2025-02-04	2	251100021164, 251100021186
1-1	2025-02-03	3	251100021179, 251100021211, 251100021205
1-1	2025-02-05	1	251100021284
1-1	2025-02-03	1	251100021197
1-1	2025-02-04	1	251100021204
1-1	2025-02-11	1	251100021204
1-1	2025-02-05	4	251100021355, 251100021318, 251100021304, 251100021585
1-1	2025-02-17	1	251100021585
1-1	2025-02-05	6	251100021401, 251100021411, 251100021530, 251100021395, 251100021338, 251100021606
1-1	2025-02-20	1	251100021606
1-1	2025-03-12	1	251100021606
1-1	2025-02-04	1	251100021637
1-1	2025-02-10	1	251100021637
1-1	2025-02-05	1	251100021816
1-1	2025-02-12	1	251100021816
1-1	2025-02-05	1	251100021794
1-1	2025-02-12	1	251100021794
1-1	2025-02-05	2	251100021824, 251100021792
1-1	2025-02-06	1	251100021741
1-1	2025-02-05	1	251100021826
1-1	2025-02-04	1	251100021650
1-1	2025-02-05	2	251100021799, 251100021827
